Syllable,gy6cy6,gy5cy5,gy4cy4,tutor_br34bl20
a,71.50987349,70.85710495,72.90762322,70.45302574
b,71.0099253,73.02776251,67.75151102,70.44626693
c,57.4867757,59.85938959,58.18348273,57.65170384
e,71.65375178,73.36639666,68.85804755,68.05675141
f,64.47434682,66.55230682,67.22999665,65.48649867
i,no_data,no_data,no_data,no_data
w,83.40551823,83.1184507,82.8157342,82.76115329
x,76.50792843,76.63494607,78.2164519,76.14460897
y,73.65781234,74.1707387,73.12002622,74.73598511
z,73.01214815,75.7928989,73.83553638,75.12405589
